Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2010,sf2,2010sf2,J,Turkey,Romania,8
2010,sf2,2010sf2,J,Turkey,Sweden,2
2010,sf2,2010sf2,J,Turkey,The Netherlands,5
2010,sf2,2010sf2,J,Turkey,Ukraine,3
2010,sf2,2010sf2,J,Ukraine,Armenia,8
2010,sf2,2010sf2,J,Ukraine,Azerbaijan,12
2010,sf2,2010sf2,J,Ukraine,Bulgaria,1
2010,sf2,2010sf2,J,Ukraine,Cyprus,4
2010,sf2,2010sf2,J,Ukraine,Denmark,5
2010,sf2,2010sf2,J,Ukraine,Georgia,7
2010,sf2,2010sf2,J,Ukraine,Israel,6
2010,sf2,2010sf2,J,Ukraine,Lithuania,2
2010,sf2,2010sf2,J,Ukraine,Romania,3
2010,sf2,2010sf2,J,Ukraine,Turkey,10
2010,sf2,2010sf2,J,United Kingdom,Bulgaria,6
2010,sf2,2010sf2,J,United Kingdom,Cyprus,4
2010,sf2,2010sf2,J,United Kingdom,Georgia,1
2010,sf2,2010sf2,J,United Kingdom,Ireland,10
2010,sf2,2010sf2,J,United Kingdom,Israel,5
2010,sf2,2010sf2,J,United Kingdom,Lithuania,7
2010,sf2,2010sf2,J,United Kingdom,Romania,12
2010,sf2,2010sf2,J,United Kingdom,Sweden,3
2010,sf2,2010sf2,J,United Kingdom,Turkey,8
2010,sf2,2010sf2,J,United Kingdom,Ukraine,2
2011,f,2011f,J,Albania,Azerbaijan,8
2011,f,2011f,J,Albania,Bosnia & Herzegovina,7
2011,f,2011f,J,Albania,France,2
2011,f,2011f,J,Albania,Greece,10
2011,f,2011f,J,Albania,Italy,12
2011,f,2011f,J,Albania,Russia,4
2011,f,2011f,J,Albania,Serbia,1
2011,f,2011f,J,Albania,Spain,5
2011,f,2011f,J,Albania,Ukraine,3
2011,f,2011f,J,Albania,United Kingdom,6
2011,f,2011f,J,Armenia,Austria,3
2011,f,2011f,J,Armenia,France,5
2011,f,2011f,J,Armenia,Georgia,10
2011,f,2011f,J,Armenia,Greece,7
2011,f,2011f,J,Armenia,Italy,6
2011,f,2011f,J,Armenia,Russia,8
2011,f,2011f,J,Armenia,Serbia,1
2011,f,2011f,J,Armenia,Sweden,4
2011,f,2011f,J,Armenia,Ukraine,12
2011,f,2011f,J,Armenia,United Kingdom,2
2011,f,2011f,J,Austria,Azerbaijan,8
2011,f,2011f,J,Austria,Bosnia & Herzegovina,12
2011,f,2011f,J,Austria,Germany,10
2011,f,2011f,J,Austria,Hungary,2
2011,f,2011f,J,Austria,Ireland,4
2011,f,2011f,J,Austria,Italy,6
2011,f,2011f,J,Austria,Moldova,5
2011,f,2011f,J,Austria,Romania,1
2011,f,2011f,J,Austria,Serbia,7
2011,f,2011f,J,Austria,Slovenia,3
2011,f,2011f,J,Azerbaijan,Georgia,10
2011,f,2011f,J,Azerbaijan,Greece,8
