,Country,Score_From_Others,Score_From_Country,Relationship_Score,To Country
120,Luxembourg,16.87070280369879,10.4062278976086,13.249919930630297,France
121,Sweden,11.968937109663877,14.54883730665856,13.195988736814225,France
122,Bulgaria,6.902149938993753,24.72628067534716,13.06386224111728,France
123,Austria,14.093411247768628,11.675556495249497,12.827642777771265,France
124,Iceland,14.026916987671058,10.267799467167332,12.001065401538703,France
125,Monaco,14.556612824852454,9.675501133831498,11.867709294198525,France
126,Germany,13.140721162358243,10.550034070325506,11.774338876197119,France
127,Ireland,13.272623507828863,10.443398049214949,11.773329624605964,France
128,Poland,8.340727137334994,16.45069308528937,11.713698913854762,France
129,United Kingdom,9.060257685103576,14.123432707048662,11.312026331479291,France
130,Estonia,9.500584663176124,12.432075689813859,10.86793391726736,France
131,Denmark,8.355537150084693,13.143707409932965,10.479634323464648,France
132,Bosnia & Herzegovina,9.302537059983445,11.614175973378737,10.394291818759227,France
133,Norway,14.061408632332386,7.612822736743831,10.346352562466928,France
134,Russia,9.11963273056367,11.544319613193688,10.260602077683808,France
135,Moldova,6.0524579016199045,16.244679263923064,9.915656174465317,France
136,Turkey,4.0606575738004285,21.748585628405927,9.397529406787386,France
137,Cyprus,12.918875278457174,6.5960780085543185,9.231138018656607,France
138,Finland,12.98509563751349,5.3330220922341205,8.32164658614101,France
139,Albania,9.93321753862639,6.234527709275764,7.869492994267816,France
140,Croatia,8.658760705679505,6.779815145411663,7.661905570604566,France
141,Romania,3.8481065377312293,14.820991248109218,7.552003265194369,France
142,Yugoslavia,11.969763668153838,4.488661375557689,7.329953332170394,France
143,Czechia,6.09931632220691,8.449549040279026,7.178890748344175,France
144,Malta,5.556689311516376,9.254267996496077,7.170989615251009,France
145,Latvia,7.323341435149614,6.714106763835438,7.012110685351049,France
146,Slovenia,7.816936748182887,5.489350854108919,6.550565503462516,France
147,Lithuania,11.74498154693806,3.3644408460667568,6.2861192840113,France
148,San Marino,8.12017639881618,4.1588830833596715,5.81127045136716,France
149,Georgia,7.393569925972749,4.394449154672439,5.700058518226152,France
150,Azerbaijan,3.3271064666877375,9.744211678579417,5.693858945265132,France
151,Hungary,2.380306153561547,13.153386691067876,5.595452375002706,France
152,North Macedonia,3.974197440032121,3.837641821656743,3.905322816796127,France
153,Belarus,1.9478341740386487,5.8377304471659395,3.3720810879656704,France
154,Montenegro,2.5649493574615367,3.845143010338384,3.140477207959828,France
155,0,0.0,8.788898309344878,0.0,France
156,Poland,9.395985237550448,31.336009469897,17.159040835165968,Germany
157,Switzerland,14.77614331165328,19.117446431572688,16.807204652343966,Germany
158,The Netherlands,13.791067090876394,19.87585022965473,16.556243052256132,Germany
159,Denmark,17.73230661851307,15.37165191291011,16.509840851830614,Germany
160,Sweden,10.550034070325506,24.50330493753021,16.078268001452113,Germany
161,Ireland,13.32331871419612,16.996118393820407,15.048079686959406,Germany
162,Turkey,9.18990924596939,23.808977951097013,14.79196899029564,Germany
163,Israel,8.686581219577988,21.565204200514117,13.686778211272012,Germany
164,United Kingdom,12.47113027510432,14.54883730665856,13.4699831255513,Germany
165,Belgium,13.112657103577229,13.143707409932965,13.128173076867862,Germany
166,Portugal,14.95524807906726,11.327097442706458,13.015358322821674,Germany
167,Austria,13.015284795460586,12.705752656595042,12.859587449302735,Germany
168,Norway,9.188739351573828,17.917985221848287,12.831355965326331,Germany
169,Italy,10.823450882099381,14.19120286831451,12.39345743540155,Germany
170,Australia,4.455946160742505,31.13456238488501,11.778536994267427,Germany
