From country,Voting Type,Points,To country,Year,Edition
North Macedonia,Jury,2,Norway,2021,sf1
North Macedonia,Jury,1,Sweden,2021,sf1
North Macedonia,Televoter,12,Croatia,2021,sf1
North Macedonia,Televoter,10,Malta,2021,sf1
North Macedonia,Televoter,8,Russia,2021,sf1
North Macedonia,Televoter,7,Azerbaijan,2021,sf1
North Macedonia,Televoter,6,Cyprus,2021,sf1
North Macedonia,Televoter,5,Ukraine,2021,sf1
North Macedonia,Televoter,4,Lithuania,2021,sf1
North Macedonia,Televoter,3,Slovenia,2021,sf1
North Macedonia,Televoter,2,Belgium,2021,sf1
North Macedonia,Televoter,1,Israel,2021,sf1
Norway,Jury,12,Malta,2021,sf1
Norway,Jury,10,Sweden,2021,sf1
Norway,Jury,8,Israel,2021,sf1
Norway,Jury,7,Ukraine,2021,sf1
Norway,Jury,6,Azerbaijan,2021,sf1
Norway,Jury,5,Cyprus,2021,sf1
Norway,Jury,4,Slovenia,2021,sf1
Norway,Jury,3,Russia,2021,sf1
Norway,Jury,2,Romania,2021,sf1
Norway,Jury,1,Ireland,2021,sf1
Norway,Televoter,12,Lithuania,2021,sf1
Norway,Televoter,10,Sweden,2021,sf1
Norway,Televoter,8,Malta,2021,sf1
Norway,Televoter,7,Ukraine,2021,sf1
Norway,Televoter,6,Azerbaijan,2021,sf1
Norway,Televoter,5,Israel,2021,sf1
Norway,Televoter,4,Russia,2021,sf1
Norway,Televoter,3,Cyprus,2021,sf1
Norway,Televoter,2,Belgium,2021,sf1
Norway,Televoter,1,Croatia,2021,sf1
Romania,Jury,12,Malta,2021,sf1
Romania,Jury,10,Ukraine,2021,sf1
Romania,Jury,8,Lithuania,2021,sf1
Romania,Jury,7,Slovenia,2021,sf1
Romania,Jury,6,North Macedonia,2021,sf1
Romania,Jury,5,Russia,2021,sf1
Romania,Jury,4,Sweden,2021,sf1
Romania,Jury,3,Cyprus,2021,sf1
Romania,Jury,2,Australia,2021,sf1
Romania,Jury,1,Croatia,2021,sf1
Romania,Televoter,12,Ukraine,2021,sf1
Romania,Televoter,10,Israel,2021,sf1
Romania,Televoter,8,Malta,2021,sf1
Romania,Televoter,7,Azerbaijan,2021,sf1
Romania,Televoter,6,Lithuania,2021,sf1
Romania,Televoter,5,Russia,2021,sf1
Romania,Televoter,4,Cyprus,2021,sf1
Romania,Televoter,3,Norway,2021,sf1
